ID_Cobranca,DataCobranca,ValorCobrado,Status,ID_Usuario,ID_UnidadeConsumidora
100001,15/01/2023,642,Aberto,3,1001
100002,15/01/2023,646,Fechado,8,1002
100003,10/01/2023,859,Fechado,8,1003
100004,15/01/2023,630,Pendente,4,1004
100005,20/01/2023,788,Aberto,10,1005
100006,15/01/2023,098,Fechado,2,1006
100007,10/01/2023,504,Fechado,1,1007
100008,20/01/2023,832,Aberto,3,1008
100009,10/01/2023,642,Pendente,1,1009
100010,10/01/2023,673,Pendente,6,1010
100011,10/01/2023,148,Pendente,5,1011
100012,20/01/2023,745,Aberto,10,1012
100013,15/01/2023,802,Pendente,3,1013
100014,10/01/2023,445,Pendente,8,1014
100015,20/01/2023,897,Aberto,5,1015
100016,10/01/2023,768,Aberto,8,1016
100017,15/01/2023,967,Pendente,1,1017
100018,20/01/2023,261,Pendente,10,1018
100019,15/01/2023,139,Pendente,1,1019
100020,15/01/2023,545,Aberto,10,1020
100021,15/01/2023,040,Pendente,4,1021
100022,15/01/2023,621,Fechado,4,1022
100023,10/01/2023,632,Aberto,10,1023
100024,20/01/2023,558,Aberto,9,1024
100025,10/01/2023,281,Fechado,2,1025
100026,15/01/2023,433,Aberto,7,1026
100027,20/01/2023,839,Aberto,1,1027
100028,10/01/2023,285,Aberto,5,1028
100029,20/01/2023,853,Fechado,7,1029
100030,20/01/2023,858,Aberto,5,1030
100031,20/01/2023,646,Aberto,3,1031
100032,10/01/2023,390,Aberto,3,1032
100033,20/01/2023,201,Pendente,2,1033
100034,15/01/2023,374,Aberto,6,1034
100035,10/01/2023,099,Pendente,9,1035
100036,20/01/2023,965,Fechado,2,1036
100037,20/01/2023,077,Fechado,3,1037
100038,20/01/2023,277,Fechado,9,1038
100039,15/01/2023,212,Aberto,1,1039
100040,10/01/2023,810,Pendente,4,1040
100041,20/01/2023,153,Aberto,3,1041
100042,15/01/2023,553,Aberto,3,1042
100043,15/01/2023,870,Pendente,3,1043
100044,20/01/2023,692,Fechado,3,1044
100045,15/01/2023,012,Aberto,3,1045
100046,15/01/2023,738,Aberto,9,1046
100047,10/01/2023,452,Pendente,7,1047
100048,10/01/2023,535,Aberto,1,1048
100049,15/01/2023,347,Fechado,10,1049
100050,20/01/2023,621,Fechado,5,1050
100051,20/01/2023,798,Pendente,4,1051
100052,20/01/2023,592,Fechado,3,1052
100053,10/01/2023,888,Pendente,7,1053
100054,20/01/2023,709,Pendente,7,1054
100055,10/01/2023,166,Aberto,10,1055
100056,10/01/2023,345,Aberto,1,1056
100057,10/01/2023,169,Fechado,5,1057
100058,10/01/2023,005,Fechado,9,1058
100059,20/01/2023,994,Fechado,1,1059
100060,10/01/2023,475,Fechado,3,1060
100061,15/01/2023,040,Aberto,2,1061
100062,20/01/2023,931,Aberto,7,1062
100063,20/01/2023,662,Pendente,3,1063
100064,20/01/2023,912,Aberto,2,1064
100065,15/01/2023,577,Fechado,2,1065
100066,15/01/2023,899,Aberto,5,1066
100067,20/01/2023,793,Pendente,3,1067
100068,20/01/2023,812,Aberto,10,1068
100069,10/01/2023,779,Aberto,1,1069
100070,20/01/2023,898,Pendente,2,1070
100071,15/01/2023,662,Pendente,9,1071
100072,20/01/2023,729,Pendente,3,1072
100073,10/01/2023,564,Fechado,8,1073
100074,10/01/2023,739,Pendente,6,1074
100075,20/01/2023,113,Fechado,10,1075
100076,20/01/2023,422,Fechado,3,1076
100077,15/01/2023,691,Pendente,2,1077
100078,15/01/2023,077,Pendente,2,1078
100079,15/01/2023,155,Pendente,6,1079
100080,20/01/2023,684,Fechado,7,1080
100081,15/01/2023,470,Pendente,9,1081
100082,20/01/2023,555,Pendente,4,1082
100083,20/01/2023,874,Aberto,7,1083
100084,10/01/2023,069,Aberto,1,1084
100085,15/01/2023,455,Fechado,10,1085
100086,15/01/2023,343,Pendente,9,1086
100087,10/01/2023,742,Pendente,7,1087
100088,15/01/2023,650,Fechado,5,1088
100089,15/01/2023,287,Pendente,3,1089
100090,20/01/2023,743,Fechado,4,1090
100091,10/01/2023,788,Aberto,1,1091
100092,15/01/2023,404,Pendente,2,1092
100093,10/01/2023,366,Pendente,5,1093
100094,15/01/2023,666,Fechado,4,1094
100095,20/01/2023,116,Aberto,7,1095
100096,10/01/2023,641,Fechado,3,1096
100097,15/01/2023,989,Aberto,7,1097
100098,15/01/2023,141,Pendente,9,1098
100099,20/01/2023,944,Aberto,1,1099
100100,10/01/2023,940,Pendente,9,1100
100101,10/01/2023,557,Pendente,9,1101
100102,10/01/2023,029,Pendente,4,1102
100103,20/01/2023,404,Aberto,9,1103
100104,20/01/2023,208,Pendente,8,1104
100105,20/01/2023,777,Pendente,3,1105
100106,20/01/2023,655,Fechado,8,1106
100107,10/01/2023,227,Pendente,3,1107
100108,20/01/2023,749,Fechado,8,1108
100109,15/01/2023,232,Pendente,7,1109
100110,15/01/2023,763,Pendente,9,1110
100111,10/01/2023,568,Fechado,6,1111
100112,15/01/2023,454,Pendente,8,1112
100113,10/01/2023,156,Fechado,2,1113
100114,20/01/2023,672,Pendente,8,1114
100115,20/01/2023,069,Aberto,5,1115
100116,20/01/2023,047,Aberto,8,1116
100117,20/01/2023,107,Fechado,4,1117
100118,15/01/2023,294,Aberto,2,1118
100119,20/01/2023,380,Aberto,1,1119
100120,20/01/2023,783,Fechado,3,1120
100121,10/01/2023,929,Pendente,4,1121
100122,10/01/2023,743,Aberto,4,1122
100123,20/01/2023,099,Fechado,2,1123
100124,15/01/2023,653,Pendente,8,1124
100125,15/01/2023,103,Pendente,3,1125
100126,10/01/2023,915,Fechado,4,1126
100127,10/01/2023,129,Fechado,5,1127
100128,15/01/2023,522,Aberto,7,1128
100129,10/01/2023,756,Pendente,9,1129
100130,20/01/2023,661,Aberto,4,1130
100131,20/01/2023,600,Fechado,7,1131
100132,10/01/2023,645,Aberto,6,1132
100133,10/01/2023,997,Aberto,6,1133
100134,15/01/2023,854,Pendente,10,1134
100135,15/01/2023,478,Pendente,9,1135
100136,10/01/2023,196,Aberto,2,1136
100137,15/01/2023,555,Fechado,2,1137
100138,15/01/2023,658,Pendente,1,1138
100139,10/01/2023,803,Fechado,1,1139
100140,10/01/2023,242,Aberto,5,1140
100141,20/01/2023,696,Fechado,6,1141
100142,10/01/2023,297,Pendente,5,1142
100143,20/01/2023,880,Pendente,5,1143
100144,20/01/2023,076,Pendente,2,1144
100145,10/01/2023,899,Pendente,4,1145
100146,15/01/2023,381,Aberto,10,1146
100147,20/01/2023,722,Pendente,8,1147
100148,10/01/2023,668,Pendente,9,1148
100149,10/01/2023,796,Fechado,9,1149
100150,15/01/2023,770,Pendente,4,1150
100151,10/01/2023,677,Aberto,7,1151
100152,15/01/2023,022,Fechado,7,1152
100153,10/01/2023,442,Fechado,10,1153
100154,10/01/2023,813,Aberto,2,1154
100155,15/01/2023,684,Aberto,4,1155
100156,15/01/2023,062,Aberto,4,1156
100157,20/01/2023,430,Fechado,6,1157
100158,15/01/2023,723,Fechado,9,1158
100159,20/01/2023,008,Fechado,2,1159
100160,20/01/2023,877,Pendente,10,1160
100161,10/01/2023,124,Fechado,6,1161
100162,20/01/2023,145,Aberto,8,1162
100163,10/01/2023,496,Pendente,9,1163
100164,20/01/2023,720,Pendente,2,1164
100165,15/01/2023,202,Fechado,7,1165
100166,15/01/2023,439,Pendente,2,1166
100167,15/01/2023,946,Pendente,4,1167
100168,20/01/2023,448,Aberto,4,1168
100169,15/01/2023,245,Aberto,7,1169
100170,20/01/2023,815,Fechado,1,1170
100171,15/01/2023,883,Pendente,5,1171
100172,10/01/2023,726,Pendente,8,1172
100173,10/01/2023,383,Fechado,7,1173
100174,10/01/2023,811,Fechado,4,1174
100175,20/01/2023,744,Fechado,10,1175
