ID_Cobranca,DataCobranca,ValorCobrado,Status,ID_Usuario,ID_UnidadeConsumidora
100401,20/03/2023,770,Pendente,10,1001
100402,10/03/2023,104,Pendente,3,1002
100403,15/03/2023,265,Fechado,4,1003
100404,20/03/2023,348,Pendente,1,1004
100405,15/03/2023,105,Pendente,10,1005
100406,15/03/2023,185,Pendente,8,1006
100407,20/03/2023,824,Aberto,6,1007
100408,10/03/2023,162,Aberto,6,1008
100409,15/03/2023,028,Fechado,1,1009
100410,10/03/2023,514,Fechado,2,1010
100411,10/03/2023,981,Aberto,8,1011
100412,15/03/2023,796,Pendente,8,1012
100413,20/03/2023,158,Fechado,7,1013
100414,20/03/2023,291,Fechado,10,1014
100415,15/03/2023,874,Fechado,3,1015
100416,15/03/2023,687,Pendente,9,1016
100417,20/03/2023,536,Aberto,4,1017
100418,20/03/2023,175,Aberto,8,1018
100419,15/03/2023,451,Aberto,5,1019
100420,10/03/2023,833,Pendente,6,1020
100421,15/03/2023,331,Pendente,8,1021
100422,20/03/2023,112,Pendente,1,1022
100423,20/03/2023,474,Pendente,1,1023
100424,20/03/2023,790,Fechado,7,1024
100425,20/03/2023,864,Fechado,6,1025
100426,15/03/2023,624,Aberto,1,1026
100427,20/03/2023,661,Pendente,5,1027
100428,15/03/2023,353,Fechado,7,1028
100429,10/03/2023,691,Pendente,9,1029
100430,20/03/2023,786,Aberto,1,1030
100431,15/03/2023,825,Pendente,10,1031
100432,15/03/2023,181,Aberto,5,1032
100433,15/03/2023,536,Aberto,7,1033
100434,15/03/2023,047,Aberto,8,1034
100435,15/03/2023,795,Fechado,5,1035
100436,20/03/2023,249,Pendente,1,1036
100437,15/03/2023,294,Fechado,10,1037
100438,20/03/2023,918,Fechado,1,1038
100439,10/03/2023,407,Aberto,7,1039
100440,10/03/2023,700,Fechado,10,1040
100441,20/03/2023,834,Fechado,1,1041
100442,10/03/2023,257,Pendente,6,1042
100443,15/03/2023,496,Fechado,7,1043
100444,15/03/2023,271,Fechado,8,1044
100445,20/03/2023,268,Aberto,5,1045
100446,15/03/2023,346,Aberto,2,1046
100447,20/03/2023,725,Aberto,10,1047
100448,10/03/2023,142,Fechado,9,1048
100449,10/03/2023,111,Pendente,2,1049
100450,10/03/2023,944,Aberto,1,1050
100451,20/03/2023,629,Aberto,9,1051
100452,10/03/2023,128,Pendente,3,1052
100453,10/03/2023,322,Fechado,1,1053
100454,20/03/2023,943,Pendente,7,1054
100455,20/03/2023,724,Aberto,5,1055
100456,20/03/2023,163,Aberto,7,1056
100457,10/03/2023,222,Fechado,7,1057
100458,15/03/2023,821,Aberto,6,1058
100459,20/03/2023,251,Pendente,3,1059
100460,20/03/2023,229,Fechado,8,1060
100461,20/03/2023,269,Pendente,2,1061
100462,10/03/2023,566,Aberto,1,1062
100463,20/03/2023,306,Pendente,2,1063
100464,15/03/2023,869,Fechado,5,1064
100465,20/03/2023,408,Aberto,6,1065
100466,20/03/2023,939,Aberto,7,1066
100467,10/03/2023,229,Pendente,1,1067
100468,15/03/2023,060,Aberto,1,1068
100469,20/03/2023,662,Aberto,6,1069
100470,10/03/2023,080,Fechado,4,1070
100471,10/03/2023,914,Pendente,4,1071
100472,20/03/2023,237,Pendente,7,1072
100473,20/03/2023,076,Fechado,2,1073
100474,20/03/2023,452,Aberto,2,1074
100475,20/03/2023,383,Fechado,9,1075
100476,10/03/2023,012,Aberto,10,1076
100477,10/03/2023,254,Aberto,8,1077
100478,20/03/2023,862,Pendente,10,1078
100479,15/03/2023,290,Pendente,6,1079
100480,10/03/2023,821,Aberto,3,1080
100481,15/03/2023,271,Pendente,3,1081
100482,20/03/2023,244,Pendente,6,1082
100483,10/03/2023,382,Fechado,7,1083
100484,10/03/2023,487,Aberto,6,1084
100485,20/03/2023,058,Fechado,6,1085
100486,15/03/2023,165,Fechado,5,1086
100487,10/03/2023,265,Pendente,4,1087
100488,15/03/2023,358,Pendente,6,1088
100489,10/03/2023,097,Aberto,6,1089
100490,20/03/2023,094,Fechado,1,1090
100491,15/03/2023,949,Aberto,2,1091
100492,20/03/2023,468,Pendente,4,1092
100493,10/03/2023,091,Fechado,9,1093
100494,10/03/2023,874,Aberto,2,1094
100495,15/03/2023,993,Fechado,10,1095
100496,20/03/2023,410,Fechado,2,1096
100497,20/03/2023,345,Aberto,1,1097
100498,20/03/2023,073,Pendente,4,1098
100499,15/03/2023,794,Aberto,9,1099
100500,15/03/2023,009,Aberto,1,1100
100501,15/03/2023,076,Pendente,10,1101
100502,15/03/2023,946,Pendente,7,1102
100503,10/03/2023,779,Fechado,1,1103
100504,10/03/2023,941,Pendente,5,1104
100505,10/03/2023,458,Fechado,4,1105
100506,10/03/2023,798,Fechado,8,1106
100507,10/03/2023,543,Aberto,1,1107
100508,10/03/2023,030,Pendente,9,1108
100509,15/03/2023,105,Fechado,9,1109
100510,20/03/2023,603,Pendente,3,1110
100511,10/03/2023,297,Pendente,10,1111
100512,15/03/2023,609,Aberto,1,1112
100513,10/03/2023,607,Fechado,8,1113
100514,15/03/2023,114,Aberto,8,1114
100515,15/03/2023,757,Aberto,6,1115
100516,20/03/2023,971,Fechado,5,1116
100517,20/03/2023,351,Aberto,4,1117
100518,15/03/2023,574,Pendente,3,1118
100519,10/03/2023,513,Fechado,4,1119
100520,20/03/2023,846,Fechado,8,1120
100521,20/03/2023,043,Aberto,8,1121
100522,20/03/2023,074,Pendente,4,1122
100523,10/03/2023,943,Pendente,7,1123
100524,20/03/2023,583,Aberto,7,1124
100525,20/03/2023,724,Pendente,8,1125
100526,20/03/2023,838,Aberto,4,1126
100527,15/03/2023,043,Aberto,8,1127
100528,20/03/2023,425,Pendente,3,1128
100529,10/03/2023,800,Aberto,7,1129
100530,20/03/2023,061,Pendente,10,1130
100531,15/03/2023,361,Fechado,4,1131
100532,10/03/2023,846,Aberto,10,1132
100533,20/03/2023,008,Pendente,8,1133
100534,20/03/2023,868,Pendente,7,1134
100535,10/03/2023,617,Fechado,8,1135
100536,15/03/2023,254,Pendente,6,1136
100537,20/03/2023,883,Aberto,4,1137
100538,10/03/2023,874,Pendente,10,1138
100539,15/03/2023,311,Pendente,9,1139
100540,20/03/2023,917,Pendente,2,1140
100541,20/03/2023,839,Pendente,3,1141
100542,20/03/2023,104,Fechado,4,1142
100543,15/03/2023,544,Aberto,1,1143
100544,20/03/2023,864,Fechado,2,1144
100545,15/03/2023,017,Aberto,2,1145
100546,15/03/2023,144,Fechado,6,1146
100547,10/03/2023,728,Pendente,10,1147
100548,15/03/2023,570,Pendente,3,1148
100549,15/03/2023,093,Aberto,5,1149
100550,10/03/2023,070,Pendente,10,1150
100551,15/03/2023,195,Aberto,8,1151
100552,15/03/2023,545,Fechado,10,1152
100553,10/03/2023,598,Fechado,6,1153
100554,10/03/2023,036,Aberto,2,1154
100555,10/03/2023,384,Fechado,8,1155
100556,10/03/2023,120,Aberto,2,1156
100557,10/03/2023,460,Aberto,4,1157
100558,20/03/2023,540,Aberto,2,1158
100559,10/03/2023,943,Pendente,9,1159
100560,20/03/2023,250,Fechado,9,1160
100561,10/03/2023,526,Aberto,8,1161
100562,15/03/2023,608,Pendente,3,1162
100563,10/03/2023,551,Aberto,6,1163
100564,15/03/2023,707,Fechado,7,1164
100565,10/03/2023,254,Aberto,9,1165
100566,20/03/2023,245,Fechado,10,1166
100567,20/03/2023,203,Pendente,10,1167
100568,10/03/2023,288,Aberto,3,1168
100569,20/03/2023,470,Aberto,7,1169
100570,15/03/2023,283,Aberto,8,1170
100571,10/03/2023,622,Aberto,7,1171
100572,20/03/2023,694,Aberto,10,1172
100573,15/03/2023,199,Pendente,6,1173
100574,20/03/2023,748,Pendente,6,1174
100575,15/03/2023,786,Aberto,3,1175
100576,10/03/2023,007,Aberto,1,1176
